LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
17391;1219-150;Häkelnadel mit Griff 1,50 mm;Stück;1;1.00;10.00;4036014014654;NULL;12;99;"             1219-150";76169910;10;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;1,5;NULL;[leer]
17392;1219-300;Häkelnadel mit Griff 3,00 mm;Stück;1;1.00;10.00;4036014014623;NULL;12;99;"             1219-300";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;3,0;NULL;[leer]
17393;1219-350;Häkelnadel mit Griff 3,50 mm;Stück;1;1.00;10.00;4036014014616;NULL;12;99;"             1219-350";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;3,5;NULL;[leer]
17394;1219-400;Häkelnadel mit Griff 4,00 mm;Stück;1;1.00;10.00;4036014014609;NULL;12;99;"             1219-400";76169910;20;0;NULL;1151;1219-K;Häkelnadel Metall mit Kunststoffgriff;Stärke;4,0;NULL;[leer]
17399;1224;Nadeleinfädler, 2 Stück;Stück;1;1.00;10.00;4036014122403;NULL;19;99;"                 1224";76169990;10;0;NULL;1169;1224;Nadeleinfädler, 2 Stück;Einzelartikel;1224;NULL;[leer]
21524;824-0;Cona 400 g, Fischer Wolle;kg;10;2.50;1.00;NULL;1;11;99;"                824-0";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21525;824-601;Cona 400 g, Fischer Wolle;kg;10;2.50;1.00;4250855401828;1;11;99;"              824-601";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21526;824-602;Cona 400 g, ecru, Fischer Wolle;kg;10;2.50;1.00;4250855401835;1;11;99;"              824-602";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21544;762-0;Cotton Fun;kg;10;20.00;10.00;NULL;1;15;99;"                762-0";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;0;NULL;Längsknäuel
21545;762-01;Cotton Fun;kg;10;20.00;10.00;4036014004785;1;15;99;"               762-01";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;01;weiß;Längsknäuel
21546;762-10;Cotton Fun;kg;10;20.00;10.00;4036014004778;1;15;99;"               762-10";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;10;royalblau;Längsknäuel
21547;762-11;Cotton Fun;kg;10;20.00;10.00;4036014004761;1;15;99;"               762-11";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;11;marine;Längsknäuel
21548;762-12;Cotton Fun;kg;10;20.00;10.00;4036014004754;1;15;99;"               762-12";52071000;NULL;1;NULL;1011;762-;Cotton Fun;Farbe;12;froschgrün;Längsknäuel
68358;1000-APDF-372-F;Anleitung PDF Ecolana;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-372-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-372-F;NULL;[leer]
68359;1000-APDF-371-E;Anleitung PDF Ecolana;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-371-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-371-E;NULL;[leer]
68360;1000-APDF-371-F;Anleitung PDF Ecolana;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-371-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-371-F;NULL;[leer]
68361;1000-APDF-421-D;Anleitung PDF Hot Socks Verona 4-fach;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-421-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-421-D;NULL;[leer]
68362;1000-APDF-306-F;Anleitung PDF Cotton quick uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-306-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-306-F;NULL;[leer]
68363;1000-APDF-323-F;Anleitung PDF Cotton Quick Batik;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-323-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-323-F;NULL;[leer]
68364;1000-APDF-324-F;Anleitung PDF_Cotton Quick Batik;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-324-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-324-F;NULL;[leer]
68365;1000-APDF-219-E;Anleitung PDF Hot Socks Pearl uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-219-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-219-E;NULL;[leer]
68366;1000-APDF-301-F;Anleitung PDF Happy Kiddy;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-301-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-301-F;NULL;[leer]
68367;1000-APDF-301-E;Anleitung PDF Happy Kiddy;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-301-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-301-E;NULL;[leer]
68368;1000-APDF-191-F;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-191-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-191-F;NULL;[leer]
68369;1000-APDF-191-E;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-191-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-191-E;NULL;[leer]
68370;1000-APDF-286-F;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-286-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-286-F;NULL;[leer]
68371;1000-APDF-286-E;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-286-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-286-E;NULL;[leer]
68372;1000-APDF-422-D;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-422-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-422-D;NULL;[leer]
71741;7373;Piazza, Fischer Wolle;kg;10;20.00;20.00;4250855426203;1;11;99;"                 7373";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71742;7374;Piazza, Fischer Wolle;kg;10;20.00;20.00;4250855426210;1;11;99;"                 7374";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71746;1000-MINI-8;Regalleiste magnetisch CQ Mini 1 x 1,25 m mit EAN;Stück;1;1.00;1.00;4036014311500;NULL;14;99;"          1000-MINI-8";85051910;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71747;1000-MINI-9;Regalleiste magnetisch FunnyMini 1 x1,25 m mit EAN;Stück;1;1.00;1.00;4036014311494;NULL;14;99;"          1000-MINI-9";85051910;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71748;6269-01-R;Polar, Einzelfarbe;kg;10;10.00;10.00;NULL;1;17;99;"            6269-01-R";55112000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71749;6269-02-R;Polar, Einzelfarbe;kg;10;10.00;10.00;NULL;1;17;99;"            6269-02-R";55112000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71750;6269-04-R;Polar, Einzelfarbe;kg;10;10.00;10.00;NULL;1;17;99;"            6269-04-R";55112000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71751;6269-05-R;Polar, Einzelfarbe;kg;10;10.00;10.00;NULL;1;17;99;"            6269-05-R";55112000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71752;6269-06-R;Polar, Einzelfarbe;kg;10;10.00;10.00;NULL;1;17;99;"            6269-06-R";55112000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71776;6325-00;Hot Socks Cashmere, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312194;NULL;15;99;"              6325-00";51099000;100;6;NULL;1962;6325-00;Hot Socks Cashmere;Einzelartikel;00;NULL;Längsknäuel
71777;6326-00;Hot Socks Alpaca, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312217;NULL;15;99;"              6326-00";51099000;100;6;NULL;1963;6326-00;Hot Socks Alpaca;Einzelartikel;00;NULL;Längsknäuel
71778;6327-00;Hot Socks Silk, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312231;NULL;15;99;"              6327-00";51099000;100;6;NULL;1964;6327-00;Hot Socks Silk;Einzelartikel;00;NULL;Längsknäuel
71779;6328-0;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;NULL;1;15;99;"               6328-0";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;0;NULL;Längsknäuel
74319;11281-2265;Regia 4-fach Business Color;kg;10;20.00;10.00;4053859012911;1;6;99;"           11281-2265";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74331;11292-0;Regia 8-fach uni;kg;10;6.67;5.00;NULL;1;6;99;"              11292-0";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74332;01292-0033;Regia 8-fach uni melange;kg;10;6.67;5.00;4053859403306;1;6;99;"           01292-0033";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74333;11292-1047;Regia 8-fach uni;kg;10;6.67;5.00;4053859403344;1;6;99;"           11292-1047";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74334;11292-1048;Regia 8-fach uni;kg;10;6.67;5.00;4053859403351;1;6;99;"           11292-1048";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74335;11292-1051;Regia 8-fach uni;kg;10;6.67;5.00;4053859403405;1;6;99;"           11292-1051";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74336;11292-1992;Regia 8-fach uni;kg;10;6.67;5.00;4053859403283;1;6;99;"           11292-1992";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74337;11292-2066;Regia 8-fach uni;kg;10;6.67;5.00;4053859403337;1;6;99;"           11292-2066";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74338;01292-2070;Regia 8-fach uni melange;kg;10;6.67;5.00;4053859403290;1;6;99;"           01292-2070";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74339;01292-2137;Regia 8-fach uni melange;kg;10;6.67;5.00;4053859403375;1;6;99;"           01292-2137";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74340;11292-6046;Regia 8-fach uni;kg;10;6.67;5.00;4053859403429;1;6;99;"           11292-6046";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74350;01630-0;Regia Premium Merino Yak;kg;10;10.00;5.00;NULL;1;6;99;"              01630-0";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74351;01630-7504;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253307;1;6;99;"           01630-7504";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74352;01630-7507;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253338;1;6;99;"           01630-7507";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74353;01630-7508;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253345;1;6;99;"           01630-7508";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74354;01630-7509;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253352;1;6;99;"           01630-7509";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74355;01630-7510;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253369;1;6;99;"           01630-7510";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74356;01630-7511;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253376;1;6;99;"           01630-7511";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74357;01630-7512;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253383;1;6;99;"           01630-7512";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74358;01630-7514;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253406;1;6;99;"           01630-7514";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74359;01630-7515;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859253413;1;6;99;"           01630-7515";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74360;01630-7516;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859301909;1;6;99;"           01630-7516";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74361;01630-7521;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859343459;1;6;99;"           01630-7521";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74362;01630-7523;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859403184;1;6;99;"           01630-7523";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74363;01630-7524;Regia Premium Merino Yak;kg;10;10.00;5.00;4053859440608;1;6;99;"           01630-7524";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74364;01644-0;Regia Premium Pure 5x100gr;kg;10;10.00;5.00;NULL;1;6;99;"              01644-0";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74365;01644-0002;Regia Premium Pure 5x100gr;kg;10;10.00;5.00;4053859453974;1;6;99;"           01644-0002";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74366;7127-0;SMX Sockenwolle 10X100gr;kg;10;10.00;10.00;NULL;1;6;99;"               7127-0";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74367;7127-0050;SMX Sockenwolle 10X100gr;kg;10;10.00;10.00;4053859203616;1;6;99;"            7127-0050";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74368;7127-0091;SMX Sockenwolle 10X100gr;kg;10;10.00;10.00;4053859203630;1;6;99;"            7127-0091";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74369;7127-0099;SMX Sockenwolle 10X100gr;kg;10;10.00;10.00;4053859203654;1;6;99;"            7127-0099";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74370;7132-0;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;NULL;1;6;99;"               7132-0";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74371;7132-0186;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;4053859204071;1;6;99;"            7132-0186";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74372;7132-0190;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;4053859457385;1;6;99;"            7132-0190";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74373;7132-0191;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;4053859457392;1;6;99;"            7132-0191";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74374;7132-0192;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;4053859457408;1;6;99;"            7132-0192";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74375;7132-0193;SMX Sockenwolle Col 10 x 100g;kg;10;10.00;10.00;4053859457415;1;6;99;"            7132-0193";51099000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74376;17551-0;SMC Merino Extrafine 170;kg;10;20.00;10.00;NULL;1;6;99;"              17551-0";51091090;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74377;17551-0001;SMC Merino Extrafine 170;kg;10;20.00;10.00;4053859032452;1;6;99;"           17551-0001";51091090;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74378;17551-0002;SMC Merino Extrafine 170;kg;10;20.00;10.00;4053859232203;1;6;99;"           17551-0002";51091090;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74379;17551-0003;SMC Merino Extrafine 170;kg;10;20.00;10.00;4053859295741;1;6;99;"           17551-0003";51091090;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74380;17551-0005;SMC Merino Extrafine 170;kg;10;20.00;10.00;4053859032469;1;6;99;"           17551-0005";51091090;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71780;6328-104;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312286;1;15;99;"             6328-104";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;104;limette-lachsorange-schwarzgrau-violettblau;Längsknäuel
71781;6328-105;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312316;1;15;99;"             6328-105";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;105;grauschwarz- silbergrau,-calypso- himbeerrot;Längsknäuel
71782;6328-106;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312347;1;15;99;"             6328-106";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;106;grau -lila -kleegrün - babyblau;Längsknäuel
71783;6328-107;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312378;1;15;99;"             6328-107";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;107;camel- graublau-türkisblau;Längsknäuel
71784;6328-108;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312408;1;15;99;"             6328-108";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;108;limette-farngrün-creme;Längsknäuel
71785;6328-109;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312439;1;15;99;"             6328-109";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;109;feige- puderrosa-wassermelone-himbeerrot;Längsknäuel
71786;6328-110;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312460;1;15;99;"             6328-110";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;110;schiefergrau- hellblau- azurblau;Längsknäuel
71787;6328-111;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312491;1;15;99;"             6328-111";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;111;creme-schwarzgrau-graugrün;Längsknäuel
71788;6328-112;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312521;1;15;99;"             6328-112";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;112;anthrazit- weiß-kussrot-gelbgrün;Längsknäuel
71789;6328-113;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312552;1;15;99;"             6328-113";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;113;lachsorange- weißgrün -indigo-tannengrün;Längsknäuel
71790;6328-114;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312583;1;15;99;"             6328-114";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;114;merlotrot-weißgrün-türkis;Längsknäuel
71791;6328-115;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312613;1;15;99;"             6328-115";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;115;orange- ananas- signalblau;Längsknäuel
71792;6328-116;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312644;1;15;99;"             6328-116";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;116;türkisblau- himbeerrot-orange -meeresgrün;Längsknäuel
71793;6328-117;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312675;1;15;99;"             6328-117";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;117;limette-olivgrün-brombeermousse;Längsknäuel
71794;6328-118;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312705;1;15;99;"             6328-118";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;118;kupferbraun- blaugrau-altrosa-graubraun;Längsknäuel
71795;6328-119;Hot Socks Selezione 4-fach;kg;10;10.00;10.00;4036014312736;1;15;99;"             6328-119";51099000;NULL;1;NULL;2023;6328-;Hot Socks Selezione 4-fach;Farbe;119;"signalblau-schwarzgrau-minzmakrone ";Längsknäuel
71796;6329-0;Hot Socks Selezione 6-fach;kg;10;6.66;5.00;NULL;1;15;99;"               6329-0";51099000;NULL;1;NULL;2024;6329-;Hot Socks Selezione 6-fach;Farbe;0;NULL;Längsknäuel
71797;6329-101;Hot Socks Selezione 6-fach;kg;10;6.66;5.00;4036014312798;1;15;99;"             6329-101";51099000;NULL;1;NULL;2024;6329-;Hot Socks Selezione 6-fach;Farbe;101;türkisblau-lindgrün-bermudablau;Längsknäuel
71798;6329-102;Hot Socks Selezione 6-fach;kg;10;6.66;5.00;4036014312828;1;15;99;"             6329-102";51099000;NULL;1;NULL;2024;6329-;Hot Socks Selezione 6-fach;Farbe;102;türkisblau-hellrosa-sommerbeere-blaubeere;Längsknäuel
71799;6329-103;Hot Socks Selezione 6-fach;kg;10;6.66;5.00;4036014312859;1;15;99;"             6329-103";51099000;NULL;1;NULL;2024;6329-;Hot Socks Selezione 6-fach;Farbe;103;creme-blaugrau- jeansblau;Längsknäuel
71801;6331-00;Lyon, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312880;NULL;17;99;"              6331-00";55111000;100;6;NULL;1966;6331-00;Lyon;Einzelartikel;00;NULL;Längsknäuel
71802;6332-00;Lille, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312903;NULL;17;99;"              6332-00";55111000;100;6;NULL;1967;6332-00;Lille;Einzelartikel;00;NULL;Längsknäuel
71803;6333-00;Paris, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312927;NULL;17;99;"              6333-00";55111000;100;6;NULL;1968;6333-00;Paris;Einzelartikel;00;NULL;Längsknäuel
71804;6334-00;Grenoble, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312941;NULL;17;99;"              6334-00";55111000;100;6;NULL;1969;6334-00;Grenoble;Einzelartikel;00;NULL;Längsknäuel
71805;6335-00;Toulouse, 6 kg Sortiment;SORT;10;60.00;60.00;4036014312965;NULL;17;99;"              6335-00";55111000;100;6;NULL;1970;6335-00;Toulouse;Einzelartikel;00;NULL;Längsknäuel
71820;7587-0;Schachenmayr Cosy Wool Black;kg;10;20.00;10.00;NULL;1;6;99;"               7587-0";55113000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71842;6287-R-02;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-02";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71843;6287-R-05;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-05";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71844;6287-R-06;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-06";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71846;6287-R-09;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-09";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71847;6287-R-01;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-01";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71848;6287-R-03;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"            6287-R-03";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71856;6287-R-0;Liana, Einzelfarbe;kg;10;20.00;10.00;NULL;1;17;99;"             6287-R-0";55111000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71858;1000-APDF-643-D;Anleitung PDF Luminosa;Stück;1;1.00;1.00;4036014313016;NULL;4;99;"      1000-APDF-643-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-643-D;NULL;[leer]
71859;1000-APDF-643-E;Anleitung PDF Luminosa;Stück;1;1.00;1.00;4036014313023;NULL;4;99;"      1000-APDF-643-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-643-E;NULL;[leer]
71860;1000-APDF-643-F;Anleitung PDF Luminosa;Stück;1;1.00;1.00;4036014313030;NULL;4;99;"      1000-APDF-643-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-643-F;NULL;[leer]
71861;1000-APDF-644-D;Anleitung PDF Finezza;Stück;1;1.00;1.00;4036014313047;NULL;4;99;"      1000-APDF-644-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-644-D;NULL;[leer]
71862;1000-APDF-644-E;Anleitung PDF Finezza;Stück;1;1.00;1.00;4036014313054;NULL;4;99;"      1000-APDF-644-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-644-E;NULL;[leer]
71863;1000-APDF-644-F;Anleitung PDF Finezza;Stück;1;1.00;1.00;4036014313061;NULL;4;99;"      1000-APDF-644-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-644-F;NULL;[leer]
71864;1000-APDF-645-D;Anleitung PDF Happy Color Batik;Stück;1;1.00;1.00;4036014313078;NULL;4;99;"      1000-APDF-645-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-645-D;NULL;[leer]
68373;1000-APDF-422-E;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-422-E";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-422-E;NULL;[leer]
68374;1000-APDF-422-F;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-422-F";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-422-F;NULL;[leer]
68375;1000-APDF-423-D;Anleitung PDF Funny uni;Stück;1;1.00;1.00;NULL;NULL;4;99;"      1000-APDF-423-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-423-D;NULL;[leer]
