LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
62195;4629-0;Hot Socks Simila;kg;10;10.00;10.00;NULL;1;7;99;"               4629-0";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;0;NULL;Längsknäuel
62219;4629-301;Hot Socks Simila;kg;10;10.00;10.00;4036014205151;1;7;99;"             4629-301";51099000;NULL;1;NULL;1662;4629-;Hot Socks Simila;Farbe;301;himmelblau-meliert-graubeige-türkis-kamel-anthrazi;Längsknäuel
70129;6218-01;Melange;kg;10;10.00;10.00;4036014282701;1;7;99;"              6218-01";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;1;grau-beige;Längsknäuel
70130;6218-02;Melange;kg;10;10.00;10.00;4036014282732;1;7;99;"              6218-02";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;2;jeans-türkis;Längsknäuel
70131;6218-03;Melange;kg;10;10.00;10.00;4036014282763;1;7;99;"              6218-03";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;3;aqua-petrol;Längsknäuel
70132;6218-04;Melange;kg;10;10.00;10.00;4036014282794;1;7;99;"              6218-04";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;4;fuchsial-orchidee;Längsknäuel
70133;6218-05;Melange;kg;10;10.00;10.00;4036014282824;1;7;99;"              6218-05";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;5;stein-rosenholz;Längsknäuel
70134;6218-06;Melange;kg;10;10.00;10.00;4036014282855;1;7;99;"              6218-06";55112000;NULL;1;NULL;1892;6218-;Melange;Farbe;6;himbeere-lilac;Längsknäuel
70138;6213-01;Quick & Cosy;kg;10;6.66;5.00;4036014282916;1;7;99;"              6213-01";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;01;weiß;Längsknäuel
70139;6213-02;Quick & Cosy;kg;10;6.66;5.00;4036014282947;1;7;99;"              6213-02";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;02;kirschblüte;Längsknäuel
70140;6213-03;Quick & Cosy;kg;10;6.66;5.00;4036014282978;1;7;99;"              6213-03";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;03;himmelblau;Längsknäuel
70141;6213-04;Quick & Cosy;kg;10;6.66;5.00;4036014283005;1;7;99;"              6213-04";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;04;blasses taupe;Längsknäuel
70142;6213-05;Quick & Cosy;kg;10;6.66;5.00;4036014283036;1;7;99;"              6213-05";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;05;curry;Längsknäuel
70143;6213-06;Quick & Cosy;kg;10;6.66;5.00;4036014283067;1;7;99;"              6213-06";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;06;kürbis;Längsknäuel
70144;6213-07;Quick & Cosy;kg;10;6.66;5.00;4036014283098;1;7;99;"              6213-07";55112000;NULL;1;NULL;1893;6213-;Quick & Cosy;Farbe;07;orangerot;Längsknäuel
73262;6383-0;Everyday Cotton;kg;10;10.00;5.00;NULL;1;15;99;"               6383-0";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;0;NULL;Längsknäuel
73263;6383-01;Everyday Cotton;kg;10;10.00;5.00;4036014323688;1;15;99;"              6383-01";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;01;weinrot;Längsknäuel
73264;6383-02;Everyday Cotton;kg;10;10.00;5.00;4036014323718;1;15;99;"              6383-02";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;02;tomatenrot;Längsknäuel
73265;6383-03;Everyday Cotton;kg;10;10.00;5.00;4036014323749;1;15;99;"              6383-03";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;03;magenta;Längsknäuel
73266;6383-04;Everyday Cotton;kg;10;10.00;5.00;4036014323770;1;15;99;"              6383-04";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;04;himbeer;Längsknäuel
73267;6383-05;Everyday Cotton;kg;10;10.00;5.00;4036014323800;1;15;99;"              6383-05";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;05;pink;Längsknäuel
73268;6383-06;Everyday Cotton;kg;10;10.00;5.00;4036014323831;1;15;99;"              6383-06";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;06;puderrosa;Längsknäuel
73269;6383-07;Everyday Cotton;kg;10;10.00;5.00;4036014323862;1;15;99;"              6383-07";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;07;apricot;Längsknäuel
73270;6383-08;Everyday Cotton;kg;10;10.00;5.00;4036014323893;1;15;99;"              6383-08";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;08;hellgelb;Längsknäuel
73271;6383-09;Everyday Cotton;kg;10;10.00;5.00;4036014323923;1;15;99;"              6383-09";52071000;NULL;1;NULL;1953;6383-;Everyday Cotton;Farbe;09;tintenblau;Längsknäuel
